name,studentId,major,email,nationality,homeLand,score,gender
Emre Srishti,S223832,Theater&Drama,sales_quantum@yahoo.com,Iraq,1,78,0
Nao Müller,S217228,SpecialEducation,media_flux@protonmail.com,Denmark,1,67,0
Sunita Reddy,S532754,Pharmacy,n.lee_consulting@yandex.com,Cuba,1,19,1
Dmitri Moreau,S285814,RenewableEnergyEngineering,contact_eclipse@yandex.com,Germany,1,86,1
Finley Morales,S42769,GameDesign,hello_zenith@live.com,Ghana,2,81,1
Jun Malhotra,S443582,CreativeWriting,j.smith_45@yahoo.com,ElSalvador,1,79,1
Emi Toure,S806876,ForensicScience,admin_zenith@hotmail.com,Finland,2,93,1
William Reyes,S379481,Nursing,hello.vortexgrid@me.com,Cyprus,2,17,1
Phoenix Ibrahim,S829259,InteriorDesign,media_quantum@protonmail.com,Eswatini,2,75,0
Rania Romano,S238729,Kinesiology,contact_nexa@yandex.com,Croatia,0,25,0
Anika Vasiliou,S360802,Physics,info_cobalt@zoho.com,Gambia,2,6,1
Rhys Watanabe,S290313,Economics,luna.waves23@gmx.com,CostaRica,1,37,0
Alex Dimitriou,S203503,Hospitality&TourismManagement,admin_zenith@hotmail.com,Botswana,1,43,0
Neha Ferrari,S64671,InternationalBusiness,help_quantum@outlook.com,Bolivia,2,40,0
Chidi Cohen,S745391,IndustrialDesign,contact_vivid@yandex.com,Haiti,0,74,1
Amara Romano,S634650,Law(Pre-Law),hello_zenith@live.com,Gambia,2,64,0
Kwame Taylor,S77105,Theater&Drama,feedback_terra@msn.com,DominicanRepublic,1,77,1
Hassan Katz,S890330,InternationalRelations,contact_zenithpulse@live.com,Botswana,1,56,0
Amina Sasaki,S401958,Biotechnology,contact_zenithpulse@live.com,Denmark,1,32,1
Diya Miller,S628112,FashionDesign,query.nexorium@zoho.com,Greece,0,73,1
Piotr Reyes,S756701,DisasterManagement,admin_zenith@hotmail.com,Ghana,2,95,0
Rowan González,S243369,InternationalBusiness,feedback_eclipse@me.com,Cambodia,2,41,1
Parisa Schneider,S567174,Medicine(Pre-Med),tech_astral@icloud.com,ElSalvador,1,16,0
Aino Goldberg,S142622,Geography,tech_stellar@icloud.com,Croatia,0,62,0
Nao Kim,S231284,Film&MediaStudies,info_zenith@zoho.com,Botswana,1,71,1
Kavita Sow,S971638,Photography,hello_zenith@live.com,EquatorialGuinea,2,82,0
Hala Singh,S190733,RenewableEnergyEngineering,service_nexa@msn.com,Colombia,0,85,1
Ping Jung,S398206,BusinessAdministration,techquery2023@gmail.com,China,2,33,0
Olivia Müller,S605659,Biotechnology,auroraforge.help@gmail.com,Chad,0,33,0
Asha Kumar,S288068,Archaeology,service_stellar@msn.com,Colombia,0,61,1
Mei Hall,S221124,RenewableEnergyEngineering,service_nexus@msn.com,Ethiopia,0,86,1
Vikram Sato,S120772,Film&MediaStudies,n.lee_consulting@yandex.com,Eswatini,2,71,1
Zahara Yilmaz,S694546,FineArts,support_nexa@aol.com,Congo(DemocraticRepublic),2,70,1
Zara Gutierrez,S387651,Entrepreneurship,support_aurora@aol.com,Congo(DemocraticRepublic),2,39,0
Sarah Ibrahim,S961854,Finance,hello_zenith@live.com,Djibouti,2,35,0
Ingrid Zhao,S499220,ActuarialScience,inquiry_elysium@zoho.com,CentralAfricanRepublic,2,45,0
Mei Anderson,S50863,Nutrition&Dietetics,admin_cobaltreach@zoho.com,Cambodia,2,23,0
Emily Zhao,S503894,SpecialEducation,support_nexa@aol.com,Comoros,1,67,1
Quinn Petrov,S185794,SocialWork,media_eclipse@protonmail.com,Estonia,1,58,1
Yuna Yang,S196537,EthicalAI&Policy,hello_zenith@live.com,Czechia,0,86,1
Inês Al-Farsi,S121329,Meteorology,admin_fluxion@hotmail.com,Czechia,0,13,1
